"t","Yn","Y"
"2001-03-01","113.870754842996","112.527581845134"
"2001-06-01","113.469329487653","112.711242765959"
"2001-09-01","113.395250476258","112.066541196791"
"2001-12-01","114.016306499911","112.622000811217"
"2002-03-01","115.311408041705","114.357510557452"
"2002-06-01","116.48679180921","115.757499198718"
"2002-09-01","117.708785154764","117.209958821943"
"2002-12-01","118.954646152636","118.717282231757"
"2003-03-01","118.701587477805","117.107385639283"
"2003-06-01","119.018607317675","116.943660019057"
"2003-09-01","120.014197834677","118.281159152272"
"2003-12-01","120.987531628394","119.431678401491"
"2004-03-01","122.554984823624","121.778463725288"
"2004-06-01","124.207595640647","124.122595429049"
"2004-09-01","125.596558797155","125.772074942458"
"2004-12-01","126.707415870407","126.793733616103"
"2005-03-01","127.339636621534","126.794079437319"
"2005-06-01","129.126667972455","129.422409463348"
"2005-09-01","129.189191612008","128.103558183825"
"2005-12-01","130.200133930739","129.13460869297"
"2006-03-01","131.802874097751","131.494487259573"
"2006-06-01","132.527788017978","131.715117416054"
"2006-09-01","133.961156000278","133.599002014998"
"2006-12-01","135.486581875995","135.558179295579"
"2007-03-01","137.313296549049","138.094826174346"
"2007-06-01","138.961902846043","140.116575383002"
"2007-09-01","140.29882869631","141.400679852359"
"2007-12-01","142.031708633932","143.607103682148"
"2008-03-01","143.865653047148","145.987224954349"
"2008-06-01","145.75323949767","148.397732048774"
"2008-09-01","147.468452936505","150.427368012212"
"2008-12-01","145.719427044973","144.757247447759"
"2009-03-01","145.322738694573","142.833426927219"
"2009-06-01","146.823013894717","145.347352033463"
"2009-09-01","148.830596289038","148.702183246787"
"2009-12-01","150.98392843462","152.146051105359"
"2010-03-01","152.814212577103","154.650665311723"
"2010-06-01","154.591427112655","156.954284045561"
"2010-09-01","155.994440908803","158.359258290235"
"2010-12-01","157.580816800617","160.246109115979"
"2011-03-01","159.0746996968","161.922531890386"
"2011-06-01","160.615112701283","163.734678364954"
"2011-09-01","161.383358757986","163.865303309492"
"2011-12-01","162.214680630927","164.353355578331"
"2012-03-01","162.576762856948","163.976477282728"
"2012-06-01","163.493851526294","165.009432912076"
"2012-09-01","165.205237906807","167.825784828875"
"2012-12-01","165.631928123362","167.653915216468"
"2013-03-01","166.150482939004","167.860651337584"
"2013-06-01","168.149431323074","171.456824602044"
"2013-09-01","168.942578711731","172.144949284409"
"2013-12-01","169.343992856548","172.120754266035"
"2014-03-01","170.083625314043","173.03882184496"
"2014-06-01","169.393783157767","170.817927462436"
"2014-09-01","169.7302539333","171.183464084393"
"2014-12-01","170.128656700171","171.696420395621"
"2015-03-01","169.595467081016","170.160143031704"
"2015-06-01","168.084744695014","166.630913420127"
"2015-09-01","167.119512527311","164.6578998105"
"2015-12-01","166.504542715084","163.613827638319"
"2016-03-01","165.80733361694","162.33881117674"
"2016-06-01","165.520056920905","161.977472112674"
"2016-09-01","164.997484503501","161.02048775683"
"2016-12-01","164.539575365753","160.148291706279"
"2017-03-01","165.52851193957","162.46353161945"
"2017-06-01","165.823356550503","162.939261420295"
"2017-09-01","165.963810299667","163.0051434428"
"2017-12-01","166.256865193795","163.424582784857"
"2018-03-01","166.656808342153","164.037591685499"
"2018-06-01","166.940397099418","164.305925769764"
"2018-09-01","167.468980110674","165.087609129525"
"2018-12-01","167.845475942387","165.387838725799"
